"state","year","pct_D","pct_R","pct_I","win_D","win_R","win_I"
"CO",1970,45.2407,52.4596,1.82185,0,1,0
"CO",1974,53.2227,45.7083,0.774336,1,0,0
"CO",1978,59.6632,39.1141,0.479539,1,0,0
"CO",1982,65.6847,31.6667,2.02391,1,0,0
"CO",1986,58.2028,41.0244,0.772764,1,0,0
"CO",1990,61.9054,35.4408,1.8719,1,0,0
"CO",1994,58.902,41.098,0,1,0,NA
"CO",1998,48.8362,49.4694,1.69441,0,1,0
"CO",2002,33.6523,62.6208,2.27233,0,1,0
"CO",2006,56.9882,40.1624,1.49661,1,0,0
"CT",1946,40.4098,54.3778,4.71476,0,1,0
"CT",1948,49.3075,49.002,1.44606,1,0,0
"CT",1950,47.7282,49.6643,2.6075,0,1,0
"CT",1954,49.4947,49.1622,1.19124,1,0,0
"CT",1958,62.289,37.0078,0.703226,1,0,0
"CT",1962,53.2065,46.7935,0,1,0,NA
"CT",1966,55.7067,44.2933,0,1,0,NA
"CT",1970,46.2318,53.7682,0,0,1,NA
"CT",1974,58.3606,39.9206,1.51096,1,0,0
"CT",1978,59.2133,40.7867,0,1,0,NA
"CT",1982,53.3515,45.9253,0.723238,1,0,0
"CT",1986,57.9292,41.1082,0.962572,1,0,0
"CT",1994,37.2555,41.2348,21.5097,0,1,0
"CT",1998,36.0351,63.9649,0,0,1,NA
"CT",2002,43.9036,56.0964,0,0,1,NA
"CT",2006,35.4474,63.2046,0.853115,0,1,0
"CT",2010,49.5102,48.9512,1.5386,1,0,0
"DE",1948,53.6851,46.3149,0,1,0,NA
"DE",1952,47.8902,52.1098,0,0,1,NA
"DE",1956,48.0459,51.9541,0,0,1,NA
"DE",1960,51.732,48.268,0,1,0,NA
"DE",1964,51.3546,48.6454,0,1,0,NA
"DE",1968,49.489,50.511,0,0,1,NA
"DE",1972,51.2736,47.911,0.641827,1,0,0
"DE",1976,42.4633,56.8606,0.546691,0,1,0
"DE",1980,28.5363,70.6571,0.806538,0,1,0
"DE",1984,44.4707,55.5293,0,0,1,NA
"DE",1988,29.2688,70.7312,0,0,1,NA
"DE",1992,66.4093,33.5907,0,1,0,NA
"DE",1996,69.5547,30.4453,0,1,0,NA
"DE",2000,59.2439,39.7452,1.01091,1,0,0
"DE",2004,50.8687,45.7858,3.3455,1,0,0
"DE",2008,67.5249,32.0498,0.42535,1,0,0
"DE",2012,69.3399,28.5891,1.14941,1,0,0
"FL",1948,83.3586,16.6414,0,1,0,NA
"FL",1952,74.8333,25.1667,0,1,0,NA
"FL",1956,73.6896,26.3104,0,1,0,NA
"FL",1960,59.8451,40.1549,0,1,0,NA
"FL",1964,57.6321,42.3679,0,1,0,NA
"FL",1966,44.8652,55.1348,0,0,1,NA
"FL",1970,56.8782,43.1218,0,1,0,NA
"FL",1974,61.1988,38.8012,0,1,0,NA
"FL",1978,55.5858,44.4142,0,1,0,NA
"FL",1982,64.7019,35.2981,0,1,0,NA
"FL",1986,45.4384,54.561,0.00062017,0,1,0
"FL",1990,56.5075,43.4756,0.016908,1,0,0
"FL",1994,50.7601,49.2399,0,1,0,NA
"FL",1998,44.7158,55.2842,0,0,1,NA
"FL",2002,43.1553,56.0207,0.823959,0,1,0
"FL",2006,45.106,52.1786,1.91737,0,1,0
"FL",2010,47.7224,48.8708,2.3104,0,1,0
"GA",1954,100,0,0,1,0,NA
"GA",1958,100,0,0,1,0,NA
"GA",1962,100,0,0,1,0,NA
"GA",1966,47.4308,47.7506,4.81859,0,1,0
"GA",1970,59.3474,40.6526,0,1,0,NA
"GA",1974,69.1082,30.8918,0,1,0,NA
"GA",1978,80.6644,19.3356,0,1,0,NA
"GA",1982,62.8187,37.1813,0,1,0,NA
"GA",1986,70.509,29.491,0,1,0,NA
"GA",1990,52.8859,44.5366,2.57752,1,0,0
"GA",1994,51.0534,48.9466,0,1,0,NA
